Label,channel,time,condition,total_vRNAs,cytosolic_RNAs,repSites,mol_per_repSite,repeat_exp,category
0h_5__results_cell_3.npz,ORFN,2,Untreated,4,4,0,0,R6,Low
0h_5__results_cell_4.npz,ORFN,2,Untreated,20,17,1,3,R6,Low
0h_5__results_cell_5.npz,ORFN,2,Untreated,9,5,2,2,R6,Low
0h_5__results_cell_0.npz,gRNA,2,Untreated,13,13,0,0,R6,Low
0h_5__results_cell_1.npz,gRNA,2,Untreated,17,14,1,3,R6,Low
0h_5__results_cell_2.npz,gRNA,2,Untreated,66,53,6,2.1666666666666665,R6,Low
0h_5__results_cell_3.npz,gRNA,2,Untreated,5,5,0,0,R6,Low
0h_5__results_cell_4.npz,gRNA,2,Untreated,14,12,1,2,R6,Low
0h_5__results_cell_5.npz,gRNA,2,Untreated,1,1,0,0,R6,Low
0h_7__results_cell_0.npz,ORFN,2,Untreated,174,125,20,2.45,R6,Mid
0h_7__results_cell_1.npz,ORFN,2,Untreated,10,6,2,2,R6,Low
0h_7__results_cell_2.npz,ORFN,2,Untreated,84,70,5,2.8,R6,Low
0h_7__results_cell_0.npz,gRNA,2,Untreated,153,116,15,2.466666666666667,R6,Mid
0h_7__results_cell_1.npz,gRNA,2,Untreated,5,3,1,2,R6,Low
0h_7__results_cell_2.npz,gRNA,2,Untreated,74,59,7,2.142857142857143,R6,Low
0h_8__results_cell_0.npz,ORFN,2,Untreated,2,2,0,0,R6,Low
0h_8__results_cell_1.npz,ORFN,2,Untreated,65,41,7,3.4285714285714284,R6,Low
0h_8__results_cell_2.npz,ORFN,2,Untreated,12,10,1,2,R6,Low
0h_8__results_cell_3.npz,ORFN,2,Untreated,24,17,2,3.5,R6,Low
0h_8__results_cell_4.npz,ORFN,2,Untreated,0,0,0,0,R6,Low
0h_8__results_cell_0.npz,gRNA,2,Untreated,2,2,0,0,R6,Low
0h_8__results_cell_1.npz,gRNA,2,Untreated,23,21,1,2,R6,Low
0h_8__results_cell_2.npz,gRNA,2,Untreated,18,12,3,2,R6,Low
0h_8__results_cell_3.npz,gRNA,2,Untreated,12,12,0,0,R6,Low
0h_8__results_cell_4.npz,gRNA,2,Untreated,2,2,0,0,R6,Low
0h_9__results_cell_0.npz,ORFN,2,Untreated,3,3,0,0,R6,Low
0h_9__results_cell_1.npz,ORFN,2,Untreated,18,11,3,2.3333333333333335,R6,Low
0h_9__results_cell_2.npz,ORFN,2,Untreated,24,14,3,3.3333333333333335,R6,Low
0h_9__results_cell_3.npz,ORFN,2,Untreated,55,38,7,2.4285714285714284,R6,Low
0h_9__results_cell_0.npz,gRNA,2,Untreated,3,3,0,0,R6,Low
0h_9__results_cell_1.npz,gRNA,2,Untreated,25,20,2,2.5,R6,Low
0h_9__results_cell_2.npz,gRNA,2,Untreated,17,14,1,3,R6,Low
0h_9__results_cell_3.npz,gRNA,2,Untreated,75,52,8,2.875,R6,Low
6h_10_cleared__results_cell_0.npz,ORFN,8,Untreated,10,8,1,2,R6,Low
6h_10_cleared__results_cell_1.npz,ORFN,8,Untreated,543,521,5,4.4,R6,Mid
6h_10_cleared__results_cell_2.npz,ORFN,8,Untreated,892,856,18,2,R6,Mid
6h_10_cleared__results_cell_3.npz,ORFN,8,Untreated,86,84,1,2,R6,Low
6h_10_cleared__results_cell_4.npz,ORFN,8,Untreated,445,394,22,2.3181818181818183,R6,Mid
6h_10_cleared__results_cell_0.npz,gRNA,8,Untreated,0,0,0,0,R6,Low
6h_10_cleared__results_cell_1.npz,gRNA,8,Untreated,159,143,8,2,R6,Mid
6h_10_cleared__results_cell_2.npz,gRNA,8,Untreated,221,190,12,2.5833333333333335,R6,Mid
6h_10_cleared__results_cell_3.npz,gRNA,8,Untreated,23,14,2,4.5,R6,Low
6h_10_cleared__results_cell_4.npz,gRNA,8,Untreated,34,25,4,2.25,R6,Low
6h_11_cleared__results_cell_0.npz,ORFN,8,Untreated,39,34,2,2.5,R6,Low
6h_11_cleared__results_cell_1.npz,ORFN,8,Untreated,517,483,17,2,R6,Mid
6h_11_cleared__results_cell_10.npz,ORFN,8,Untreated,31,31,0,0,R6,Low
6h_11_cleared__results_cell_11.npz,ORFN,8,Untreated,174,172,1,2,R6,Low
6h_11_cleared__results_cell_12.npz,ORFN,8,Untreated,0,0,0,0,R6,Low
6h_11_cleared__results_cell_13.npz,ORFN,8,Untreated,283,255,14,2,R6,Mid
6h_11_cleared__results_cell_14.npz,ORFN,8,Untreated,0,0,0,0,R6,Low
6h_11_cleared__results_cell_15.npz,ORFN,8,Untreated,130,121,4,2.25,R6,Low
6h_11_cleared__results_cell_2.npz,ORFN,8,Untreated,8,8,0,0,R6,Low
6h_11_cleared__results_cell_3.npz,ORFN,8,Untreated,234,225,4,2.25,R6,Low
6h_11_cleared__results_cell_4.npz,ORFN,8,Untreated,0,0,0,0,R6,Low
6h_11_cleared__results_cell_5.npz,ORFN,8,Untreated,91,89,1,2,R6,Low
6h_11_cleared__results_cell_6.npz,ORFN,8,Untreated,13,13,0,0,R6,Low
6h_11_cleared__results_cell_7.npz,ORFN,8,Untreated,42,40,1,2,R6,Low
6h_11_cleared__results_cell_8.npz,ORFN,8,Untreated,855,789,30,2.2,R6,Mid
6h_11_cleared__results_cell_9.npz,ORFN,8,Untreated,86,82,2,2,R6,Low
6h_11_cleared__results_cell_0.npz,gRNA,8,Untreated,24,12,5,2.4,R6,Low
6h_11_cleared__results_cell_1.npz,gRNA,8,Untreated,85,54,7,4.428571428571429,R6,Low
6h_11_cleared__results_cell_10.npz,gRNA,8,Untreated,1,1,0,0,R6,Low
6h_11_cleared__results_cell_11.npz,gRNA,8,Untreated,117,111,3,2,R6,Mid
6h_11_cleared__results_cell_12.npz,gRNA,8,Untreated,0,0,0,0,R6,Low
6h_11_cleared__results_cell_13.npz,gRNA,8,Untreated,6,6,0,0,R6,Low
6h_11_cleared__results_cell_14.npz,gRNA,8,Untreated,0,0,0,0,R6,Low
6h_11_cleared__results_cell_15.npz,gRNA,8,Untreated,6,6,0,0,R6,Low
6h_11_cleared__results_cell_2.npz,gRNA,8,Untreated,2,2,0,0,R6,Low
6h_11_cleared__results_cell_3.npz,gRNA,8,Untreated,185,165,7,2.857142857142857,R6,Mid
6h_11_cleared__results_cell_4.npz,gRNA,8,Untreated,0,0,0,0,R6,Low
6h_11_cleared__results_cell_5.npz,gRNA,8,Untreated,53,49,2,2,R6,Low
6h_11_cleared__results_cell_6.npz,gRNA,8,Untreated,2,2,0,0,R6,Low
6h_11_cleared__results_cell_7.npz,gRNA,8,Untreated,10,7,1,3,R6,Low
6h_11_cleared__results_cell_8.npz,gRNA,8,Untreated,138,98,16,2.5,R6,Mid
6h_11_cleared__results_cell_9.npz,gRNA,8,Untreated,63,53,5,2,R6,Low
6h_12_cleared__results_cell_0.npz,ORFN,8,Untreated,44,42,1,2,R6,Low
6h_12_cleared__results_cell_1.npz,ORFN,8,Untreated,133,133,0,0,R6,Low
6h_12_cleared__results_cell_10.npz,ORFN,8,Untreated,328,324,2,2,R6,Mid
6h_12_cleared__results_cell_11.npz,ORFN,8,Untreated,211,207,2,2,R6,Low
6h_12_cleared__results_cell_12.npz,ORFN,8,Untreated,1313,1088,34,6.617647058823529,R6,Mid
6h_12_cleared__results_cell_13.npz,ORFN,8,Untreated,0,0,0,0,R6,Low
6h_12_cleared__results_cell_2.npz,ORFN,8,Untreated,0,0,0,0,R6,Low
6h_12_cleared__results_cell_3.npz,ORFN,8,Untreated,44,42,1,2,R6,Low
6h_12_cleared__results_cell_4.npz,ORFN,8,Untreated,140,130,5,2,R6,Low
6h_12_cleared__results_cell_5.npz,ORFN,8,Untreated,229,226,1,3,R6,Low
6h_12_cleared__results_cell_6.npz,ORFN,8,Untreated,114,110,2,2,R6,Low
6h_12_cleared__results_cell_7.npz,ORFN,8,Untreated,94,85,4,2.25,R6,Low
6h_12_cleared__results_cell_8.npz,ORFN,8,Untreated,796,650,17,8.588235294117647,R6,Mid
6h_12_cleared__results_cell_9.npz,ORFN,8,Untreated,143,126,6,2.8333333333333335,R6,Low
6h_12_cleared__results_cell_0.npz,gRNA,8,Untreated,23,23,0,0,R6,Low
6h_12_cleared__results_cell_1.npz,gRNA,8,Untreated,107,93,7,2,R6,Mid
6h_12_cleared__results_cell_10.npz,gRNA,8,Untreated,207,191,8,2,R6,Mid
6h_12_cleared__results_cell_11.npz,gRNA,8,Untreated,152,135,8,2.125,R6,Mid
6h_12_cleared__results_cell_12.npz,gRNA,8,Untreated,305,164,15,9.4,R6,Mid
6h_12_cleared__results_cell_13.npz,gRNA,8,Untreated,0,0,0,0,R6,Low
6h_12_cleared__results_cell_2.npz,gRNA,8,Untreated,0,0,0,0,R6,Low
6h_12_cleared__results_cell_3.npz,gRNA,8,Untreated,26,20,3,2,R6,Low
6h_12_cleared__results_cell_4.npz,gRNA,8,Untreated,55,49,3,2,R6,Low
6h_12_cleared__results_cell_5.npz,gRNA,8,Untreated,129,114,7,2.142857142857143,R6,Mid
6h_12_cleared__results_cell_6.npz,gRNA,8,Untreated,66,64,1,2,R6,Low
6h_12_cleared__results_cell_7.npz,gRNA,8,Untreated,12,12,0,0,R6,Low
6h_12_cleared__results_cell_8.npz,gRNA,8,Untreated,425,219,10,20.6,R6,Mid
6h_12_cleared__results_cell_9.npz,gRNA,8,Untreated,28,17,2,5.5,R6,Low
6h_13_cleared__results_cell_0.npz,ORFN,8,Untreated,36,34,1,2,R6,Low
6h_13_cleared__results_cell_1.npz,ORFN,8,Untreated,252,212,2,20,R6,Low
6h_13_cleared__results_cell_2.npz,ORFN,8,Untreated,117,107,5,2,R6,Low
6h_13_cleared__results_cell_3.npz,ORFN,8,Untreated,897,807,35,2.5714285714285716,R6,Mid
6h_13_cleared__results_cell_4.npz,ORFN,8,Untreated,151,141,5,2,R6,Low
6h_13_cleared__results_cell_5.npz,ORFN,8,Untreated,60,60,0,0,R6,Low
6h_13_cleared__results_cell_6.npz,ORFN,8,Untreated,598,573,11,2.272727272727273,R6,Mid
6h_13_cleared__results_cell_7.npz,ORFN,8,Untreated,70,66,2,2,R6,Low
6h_13_cleared__results_cell_8.npz,ORFN,8,Untreated,213,211,1,2,R6,Low
6h_13_cleared__results_cell_0.npz,gRNA,8,Untreated,9,7,1,2,R6,Low
6h_13_cleared__results_cell_1.npz,gRNA,8,Untreated,82,63,4,4.75,R6,Low
6h_13_cleared__results_cell_2.npz,gRNA,8,Untreated,35,28,3,2.3333333333333335,R6,Low
6h_13_cleared__results_cell_3.npz,gRNA,8,Untreated,233,150,16,5.1875,R6,Mid
6h_13_cleared__results_cell_4.npz,gRNA,8,Untreated,47,45,1,2,R6,Low
6h_13_cleared__results_cell_5.npz,gRNA,8,Untreated,33,33,0,0,R6,Low
6h_13_cleared__results_cell_6.npz,gRNA,8,Untreated,390,323,30,2.2333333333333334,R6,Mid
6h_13_cleared__results_cell_7.npz,gRNA,8,Untreated,40,36,2,2,R6,Low
6h_13_cleared__results_cell_8.npz,gRNA,8,Untreated,208,158,24,2.0833333333333335,R6,Mid
6h_14_cleared__results_cell_0.npz,ORFN,8,Untreated,153,151,1,2,R6,Low
6h_14_cleared__results_cell_1.npz,ORFN,8,Untreated,627,603,12,2,R6,Mid
6h_14_cleared__results_cell_10.npz,ORFN,8,Untreated,260,249,5,2.2,R6,Low
6h_14_cleared__results_cell_11.npz,ORFN,8,Untreated,341,323,8,2.25,R6,Mid
6h_14_cleared__results_cell_12.npz,ORFN,8,Untreated,112,112,0,0,R6,Low
6h_14_cleared__results_cell_13.npz,ORFN,8,Untreated,148,144,2,2,R6,Low
6h_14_cleared__results_cell_14.npz,ORFN,8,Untreated,429,408,9,2.3333333333333335,R6,Mid
6h_14_cleared__results_cell_2.npz,ORFN,8,Untreated,673,617,14,4,R6,Mid
6h_14_cleared__results_cell_3.npz,ORFN,8,Untreated,2473,2194,104,2.6826923076923075,R6,Mid
6h_14_cleared__results_cell_4.npz,ORFN,8,Untreated,343,325,9,2,R6,Mid
6h_14_cleared__results_cell_5.npz,ORFN,8,Untreated,273,265,4,2,R6,Mid
6h_14_cleared__results_cell_6.npz,ORFN,8,Untreated,686,634,20,2.6,R6,Mid
6h_14_cleared__results_cell_7.npz,ORFN,8,Untreated,879,829,24,2.0833333333333335,R6,Mid
6h_14_cleared__results_cell_8.npz,ORFN,8,Untreated,393,375,7,2.5714285714285716,R6,Mid
6h_14_cleared__results_cell_9.npz,ORFN,8,Untreated,5078,4570,173,2.9364161849710984,R6,Mid
6h_14_cleared__results_cell_0.npz,gRNA,8,Untreated,39,26,5,2.6,R6,Low
6h_14_cleared__results_cell_1.npz,gRNA,8,Untreated,39,34,2,2.5,R6,Low
6h_14_cleared__results_cell_10.npz,gRNA,8,Untreated,31,25,3,2,R6,Low
6h_14_cleared__results_cell_11.npz,gRNA,8,Untreated,33,29,1,4,R6,Low
6h_14_cleared__results_cell_12.npz,gRNA,8,Untreated,5,5,0,0,R6,Low
6h_14_cleared__results_cell_13.npz,gRNA,8,Untreated,9,9,0,0,R6,Low
6h_14_cleared__results_cell_14.npz,gRNA,8,Untreated,42,30,4,3,R6,Low
6h_14_cleared__results_cell_2.npz,gRNA,8,Untreated,47,43,2,2,R6,Low
6h_14_cleared__results_cell_3.npz,gRNA,8,Untreated,157,126,11,2.8181818181818183,R6,Mid
6h_14_cleared__results_cell_4.npz,gRNA,8,Untreated,71,63,1,8,R6,Low
6h_14_cleared__results_cell_5.npz,gRNA,8,Untreated,60,50,2,5,R6,Low
6h_14_cleared__results_cell_6.npz,gRNA,8,Untreated,383,307,35,2.1714285714285713,R6,Mid
6h_14_cleared__results_cell_7.npz,gRNA,8,Untreated,143,137,3,2,R6,Mid
6h_14_cleared__results_cell_8.npz,gRNA,8,Untreated,107,80,9,3,R6,Mid
6h_14_cleared__results_cell_9.npz,gRNA,8,Untreated,439,340,23,4.304347826086956,R6,Mid
6h_15_cleared__results_cell_0.npz,ORFN,8,Untreated,1048,958,25,3.6,R6,Mid
6h_15_cleared__results_cell_1.npz,ORFN,8,Untreated,512,477,17,2.0588235294117645,R6,Mid
6h_15_cleared__results_cell_10.npz,ORFN,8,Untreated,3084,2963,58,2.086206896551724,R6,Mid
6h_15_cleared__results_cell_2.npz,ORFN,8,Untreated,4872,4504,155,2.3741935483870966,R6,Mid
6h_15_cleared__results_cell_3.npz,ORFN,8,Untreated,1056,975,33,2.4545454545454546,R6,Mid
6h_15_cleared__results_cell_4.npz,ORFN,8,Untreated,4586,4237,161,2.1677018633540373,R6,Mid
6h_15_cleared__results_cell_5.npz,ORFN,8,Untreated,905,846,25,2.36,R6,Mid
6h_15_cleared__results_cell_6.npz,ORFN,8,Untreated,5008,4677,157,2.1082802547770703,R6,Mid
6h_15_cleared__results_cell_7.npz,ORFN,8,Untreated,2096,2005,45,2.022222222222222,R6,Mid
6h_15_cleared__results_cell_8.npz,ORFN,8,Untreated,2197,2131,32,2.0625,R6,Mid
6h_15_cleared__results_cell_9.npz,ORFN,8,Untreated,759,721,17,2.235294117647059,R6,Mid
6h_15_cleared__results_cell_0.npz,gRNA,8,Untreated,132,118,6,2.3333333333333335,R6,Mid
6h_15_cleared__results_cell_1.npz,gRNA,8,Untreated,38,26,5,2.4,R6,Low
6h_15_cleared__results_cell_10.npz,gRNA,8,Untreated,502,447,24,2.2916666666666665,R6,Mid
6h_15_cleared__results_cell_2.npz,gRNA,8,Untreated,186,158,9,3.111111111111111,R6,Mid
6h_15_cleared__results_cell_3.npz,gRNA,8,Untreated,222,186,17,2.1176470588235294,R6,Mid
6h_15_cleared__results_cell_4.npz,gRNA,8,Untreated,345,275,20,3.5,R6,Mid
6h_15_cleared__results_cell_5.npz,gRNA,8,Untreated,71,60,4,2.75,R6,Low
6h_15_cleared__results_cell_6.npz,gRNA,8,Untreated,177,152,9,2.7777777777777777,R6,Mid
6h_15_cleared__results_cell_7.npz,gRNA,8,Untreated,180,161,9,2.111111111111111,R6,Mid
6h_15_cleared__results_cell_8.npz,gRNA,8,Untreated,298,252,14,3.2857142857142856,R6,Mid
6h_15_cleared__results_cell_9.npz,gRNA,8,Untreated,24,17,3,2.3333333333333335,R6,Low
6h_16_cleared__results_cell_0.npz,ORFN,8,Untreated,3,3,0,0,R6,Low
6h_16_cleared__results_cell_1.npz,ORFN,8,Untreated,3,3,0,0,R6,Low
6h_16_cleared__results_cell_10.npz,ORFN,8,Untreated,49,47,1,2,R6,Low
6h_16_cleared__results_cell_11.npz,ORFN,8,Untreated,0,0,0,0,R6,Low
6h_16_cleared__results_cell_2.npz,ORFN,8,Untreated,5,5,0,0,R6,Low
6h_16_cleared__results_cell_3.npz,ORFN,8,Untreated,437,407,14,2.142857142857143,R6,Mid
6h_16_cleared__results_cell_4.npz,ORFN,8,Untreated,99,97,1,2,R6,Low
6h_16_cleared__results_cell_5.npz,ORFN,8,Untreated,205,185,8,2.5,R6,Low
6h_16_cleared__results_cell_6.npz,ORFN,8,Untreated,47,47,0,0,R6,Low
6h_16_cleared__results_cell_7.npz,ORFN,8,Untreated,57,57,0,0,R6,Low
6h_16_cleared__results_cell_8.npz,ORFN,8,Untreated,198,178,10,2,R6,Low
6h_16_cleared__results_cell_9.npz,ORFN,8,Untreated,75,73,1,2,R6,Low
6h_16_cleared__results_cell_0.npz,gRNA,8,Untreated,3,3,0,0,R6,Low
6h_16_cleared__results_cell_1.npz,gRNA,8,Untreated,2,2,0,0,R6,Low
6h_16_cleared__results_cell_10.npz,gRNA,8,Untreated,30,30,0,0,R6,Low
6h_16_cleared__results_cell_11.npz,gRNA,8,Untreated,0,0,0,0,R6,Low
6h_16_cleared__results_cell_2.npz,gRNA,8,Untreated,1,1,0,0,R6,Low
6h_16_cleared__results_cell_3.npz,gRNA,8,Untreated,108,72,12,3,R6,Mid
6h_16_cleared__results_cell_4.npz,gRNA,8,Untreated,70,62,4,2,R6,Low
6h_16_cleared__results_cell_5.npz,gRNA,8,Untreated,19,17,1,2,R6,Low
6h_16_cleared__results_cell_6.npz,gRNA,8,Untreated,46,42,2,2,R6,Low
6h_16_cleared__results_cell_7.npz,gRNA,8,Untreated,88,82,3,2,R6,Low
6h_16_cleared__results_cell_8.npz,gRNA,8,Untreated,46,32,4,3.5,R6,Low
6h_16_cleared__results_cell_9.npz,gRNA,8,Untreated,47,45,1,2,R6,Low
6h_17_cleared__results_cell_0.npz,ORFN,8,Untreated,177,163,6,2.3333333333333335,R6,Low
6h_17_cleared__results_cell_1.npz,ORFN,8,Untreated,107,99,4,2,R6,Low
6h_17_cleared__results_cell_2.npz,ORFN,8,Untreated,18,18,0,0,R6,Low
6h_17_cleared__results_cell_3.npz,ORFN,8,Untreated,16,16,0,0,R6,Low
6h_17_cleared__results_cell_4.npz,ORFN,8,Untreated,151,138,6,2.1666666666666665,R6,Low
6h_17_cleared__results_cell_5.npz,ORFN,8,Untreated,44,39,2,2.5,R6,Low
6h_17_cleared__results_cell_6.npz,ORFN,8,Untreated,835,782,25,2.12,R6,Mid
6h_17_cleared__results_cell_7.npz,ORFN,8,Untreated,86,71,1,15,R6,Low
6h_17_cleared__results_cell_8.npz,ORFN,8,Untreated,138,125,6,2.1666666666666665,R6,Low
6h_17_cleared__results_cell_0.npz,gRNA,8,Untreated,19,15,2,2,R6,Low
6h_17_cleared__results_cell_1.npz,gRNA,8,Untreated,13,13,0,0,R6,Low
6h_17_cleared__results_cell_2.npz,gRNA,8,Untreated,3,3,0,0,R6,Low
6h_17_cleared__results_cell_3.npz,gRNA,8,Untreated,5,3,1,2,R6,Low
6h_17_cleared__results_cell_4.npz,gRNA,8,Untreated,18,14,2,2,R6,Low
6h_17_cleared__results_cell_5.npz,gRNA,8,Untreated,5,5,0,0,R6,Low
6h_17_cleared__results_cell_6.npz,gRNA,8,Untreated,46,40,3,2,R6,Low
6h_17_cleared__results_cell_7.npz,gRNA,8,Untreated,30,15,1,15,R6,Low
6h_17_cleared__results_cell_8.npz,gRNA,8,Untreated,6,6,0,0,R6,Low
6h_1_cleared__results_cell_0.npz,ORFN,8,Untreated,296,286,5,2,R6,Mid
