Label,channel,time,condition,total_vRNAs,cytosolic_RNAs,repSites,mol_per_repSite,repeat_exp
6h_13_cleared__results_cell_0.npz,gRNA,8,Untreated,47,7,1,40,R6
6h_13_cleared__results_cell_1.npz,gRNA,8,Untreated,241,63,4,44.5,R6
6h_13_cleared__results_cell_2.npz,gRNA,8,Untreated,96,28,3,22.666666666666668,R6
6h_13_cleared__results_cell_3.npz,gRNA,8,Untreated,1114,150,16,60.25,R6
6h_13_cleared__results_cell_4.npz,gRNA,8,Untreated,138,45,1,93,R6
6h_13_cleared__results_cell_5.npz,gRNA,8,Untreated,33,33,0,NA,R6
6h_13_cleared__results_cell_6.npz,gRNA,8,Untreated,2253,323,30,64.33333333333333,R6
6h_13_cleared__results_cell_7.npz,gRNA,8,Untreated,97,36,2,30.5,R6
6h_13_cleared__results_cell_8.npz,gRNA,8,Untreated,1980,158,24,75.91666666666667,R6
6h_14_cleared__results_cell_0.npz,ORFN,8,Untreated,240,57,1,183,R6
6h_14_cleared__results_cell_1.npz,ORFN,8,Untreated,2552,217,12,194.58333333333334,R6
6h_14_cleared__results_cell_10.npz,ORFN,8,Untreated,2931,89,5,568.4,R6
6h_14_cleared__results_cell_11.npz,ORFN,8,Untreated,3326,113,8,401.625,R6
6h_14_cleared__results_cell_12.npz,ORFN,8,Untreated,43,43,0,NA,R6
6h_14_cleared__results_cell_13.npz,ORFN,8,Untreated,115,53,2,31,R6
6h_14_cleared__results_cell_14.npz,ORFN,8,Untreated,1770,144,9,180.66666666666666,R6
6h_14_cleared__results_cell_2.npz,ORFN,8,Untreated,3403,203,14,228.57142857142858,R6
6h_14_cleared__results_cell_3.npz,ORFN,8,Untreated,37307,672,104,352.25961538461536,R6
6h_14_cleared__results_cell_4.npz,ORFN,8,Untreated,3254,114,9,348.8888888888889,R6
6h_14_cleared__results_cell_5.npz,ORFN,8,Untreated,1307,97,4,302.5,R6
6h_14_cleared__results_cell_6.npz,ORFN,8,Untreated,2249,212,20,101.85,R6
6h_14_cleared__results_cell_7.npz,ORFN,8,Untreated,4873,288,24,191.04166666666666,R6
6h_14_cleared__results_cell_8.npz,ORFN,8,Untreated,3262,133,7,447,R6
6h_14_cleared__results_cell_9.npz,ORFN,8,Untreated,62567,1445,173,353.3063583815029,R6
6h_14_cleared__results_cell_0.npz,gRNA,8,Untreated,557,26,5,106.2,R6
6h_14_cleared__results_cell_1.npz,gRNA,8,Untreated,184,34,2,75,R6
6h_14_cleared__results_cell_10.npz,gRNA,8,Untreated,480,25,3,151.66666666666666,R6
6h_14_cleared__results_cell_11.npz,gRNA,8,Untreated,99,29,1,70,R6
6h_14_cleared__results_cell_12.npz,gRNA,8,Untreated,5,5,0,NA,R6
6h_14_cleared__results_cell_13.npz,gRNA,8,Untreated,9,9,0,NA,R6
6h_14_cleared__results_cell_14.npz,gRNA,8,Untreated,382,30,4,88,R6
6h_14_cleared__results_cell_2.npz,gRNA,8,Untreated,260,43,2,108.5,R6
6h_14_cleared__results_cell_3.npz,gRNA,8,Untreated,1349,126,11,111.18181818181819,R6
6h_14_cleared__results_cell_4.npz,gRNA,8,Untreated,155,63,1,92,R6
6h_14_cleared__results_cell_5.npz,gRNA,8,Untreated,180,50,2,65,R6
6h_14_cleared__results_cell_6.npz,gRNA,8,Untreated,1815,307,35,43.08571428571429,R6
6h_14_cleared__results_cell_7.npz,gRNA,8,Untreated,654,137,3,172.33333333333334,R6
6h_14_cleared__results_cell_8.npz,gRNA,8,Untreated,969,80,9,98.77777777777777,R6
6h_14_cleared__results_cell_9.npz,gRNA,8,Untreated,2772,340,23,105.73913043478261,R6
6h_15_cleared__results_cell_0.npz,ORFN,8,Untreated,17773,313,25,698.4,R6
6h_15_cleared__results_cell_1.npz,ORFN,8,Untreated,12954,162,17,752.4705882352941,R6
6h_15_cleared__results_cell_10.npz,ORFN,8,Untreated,40702,1065,58,683.3965517241379,R6
6h_15_cleared__results_cell_2.npz,ORFN,8,Untreated,81681,1506,155,517.258064516129,R6
6h_15_cleared__results_cell_3.npz,ORFN,8,Untreated,10006,325,33,293.3636363636364,R6
6h_15_cleared__results_cell_4.npz,ORFN,8,Untreated,90674,1415,161,554.4037267080745,R6
6h_15_cleared__results_cell_5.npz,ORFN,8,Untreated,17509,289,25,688.8,R6
6h_15_cleared__results_cell_6.npz,ORFN,8,Untreated,87464,1595,157,546.9363057324841,R6
6h_15_cleared__results_cell_7.npz,ORFN,8,Untreated,29941,715,45,649.4666666666667,R6
6h_15_cleared__results_cell_8.npz,ORFN,8,Untreated,22178,779,32,668.71875,R6
6h_15_cleared__results_cell_9.npz,ORFN,8,Untreated,10038,254,17,575.5294117647059,R6
6h_15_cleared__results_cell_0.npz,gRNA,8,Untreated,930,118,6,135.33333333333334,R6
6h_15_cleared__results_cell_1.npz,gRNA,8,Untreated,613,26,5,117.4,R6
6h_15_cleared__results_cell_10.npz,gRNA,8,Untreated,2654,447,24,91.95833333333333,R6
6h_15_cleared__results_cell_2.npz,gRNA,8,Untreated,988,158,9,92.22222222222223,R6
6h_15_cleared__results_cell_3.npz,gRNA,8,Untreated,1116,186,17,54.705882352941174,R6
6h_15_cleared__results_cell_4.npz,gRNA,8,Untreated,1870,275,20,79.75,R6
6h_15_cleared__results_cell_5.npz,gRNA,8,Untreated,388,60,4,82,R6
6h_15_cleared__results_cell_6.npz,gRNA,8,Untreated,933,152,9,86.77777777777777,R6
6h_15_cleared__results_cell_7.npz,gRNA,8,Untreated,868,161,9,78.55555555555556,R6
6h_15_cleared__results_cell_8.npz,gRNA,8,Untreated,2015,252,14,125.92857142857143,R6
6h_15_cleared__results_cell_9.npz,gRNA,8,Untreated,49,17,3,10.666666666666666,R6
6h_16_cleared__results_cell_0.npz,ORFN,8,Untreated,1,1,0,NA,R6
6h_16_cleared__results_cell_1.npz,ORFN,8,Untreated,1,1,0,NA,R6
6h_16_cleared__results_cell_10.npz,ORFN,8,Untreated,28,17,1,11,R6
6h_16_cleared__results_cell_11.npz,ORFN,8,Untreated,0,0,0,NA,R6
6h_16_cleared__results_cell_2.npz,ORFN,8,Untreated,2,2,0,NA,R6
6h_16_cleared__results_cell_3.npz,ORFN,8,Untreated,953,138,14,58.214285714285715,R6
6h_16_cleared__results_cell_4.npz,ORFN,8,Untreated,58,36,1,22,R6
6h_16_cleared__results_cell_5.npz,ORFN,8,Untreated,547,59,8,61,R6
6h_16_cleared__results_cell_6.npz,ORFN,8,Untreated,18,18,0,NA,R6
6h_16_cleared__results_cell_7.npz,ORFN,8,Untreated,22,22,0,NA,R6
6h_16_cleared__results_cell_8.npz,ORFN,8,Untreated,577,56,10,52.1,R6
6h_16_cleared__results_cell_9.npz,ORFN,8,Untreated,54,27,1,27,R6
6h_16_cleared__results_cell_0.npz,gRNA,8,Untreated,3,3,0,NA,R6
6h_16_cleared__results_cell_1.npz,gRNA,8,Untreated,2,2,0,NA,R6
6h_16_cleared__results_cell_10.npz,gRNA,8,Untreated,30,30,0,NA,R6
6h_16_cleared__results_cell_11.npz,gRNA,8,Untreated,0,0,0,NA,R6
6h_16_cleared__results_cell_2.npz,gRNA,8,Untreated,1,1,0,NA,R6
6h_16_cleared__results_cell_3.npz,gRNA,8,Untreated,528,72,12,38,R6
6h_16_cleared__results_cell_4.npz,gRNA,8,Untreated,134,62,4,18,R6
6h_16_cleared__results_cell_5.npz,gRNA,8,Untreated,61,17,1,44,R6
6h_16_cleared__results_cell_6.npz,gRNA,8,Untreated,114,42,2,36,R6
6h_16_cleared__results_cell_7.npz,gRNA,8,Untreated,103,82,3,7,R6
6h_16_cleared__results_cell_8.npz,gRNA,8,Untreated,157,32,4,31.25,R6
6h_16_cleared__results_cell_9.npz,gRNA,8,Untreated,52,45,1,7,R6
6h_17_cleared__results_cell_0.npz,ORFN,8,Untreated,309,54,6,42.5,R6
6h_17_cleared__results_cell_1.npz,ORFN,8,Untreated,172,33,4,34.75,R6
6h_17_cleared__results_cell_2.npz,ORFN,8,Untreated,7,7,0,NA,R6
6h_17_cleared__results_cell_3.npz,ORFN,8,Untreated,6,6,0,NA,R6
6h_17_cleared__results_cell_4.npz,ORFN,8,Untreated,474,45,6,71.5,R6
6h_17_cleared__results_cell_5.npz,ORFN,8,Untreated,54,12,2,21,R6
6h_17_cleared__results_cell_6.npz,ORFN,8,Untreated,2179,268,25,76.44,R6
6h_17_cleared__results_cell_7.npz,ORFN,8,Untreated,73,18,1,55,R6
6h_17_cleared__results_cell_8.npz,ORFN,8,Untreated,488,40,6,74.66666666666667,R6
6h_17_cleared__results_cell_0.npz,gRNA,8,Untreated,45,15,2,15,R6
6h_17_cleared__results_cell_1.npz,gRNA,8,Untreated,13,13,0,NA,R6
6h_17_cleared__results_cell_2.npz,gRNA,8,Untreated,3,3,0,NA,R6
6h_17_cleared__results_cell_3.npz,gRNA,8,Untreated,13,3,1,10,R6
6h_17_cleared__results_cell_4.npz,gRNA,8,Untreated,48,14,2,17,R6
6h_17_cleared__results_cell_5.npz,gRNA,8,Untreated,5,5,0,NA,R6
6h_17_cleared__results_cell_6.npz,gRNA,8,Untreated,120,40,3,26.666666666666668,R6
6h_17_cleared__results_cell_7.npz,gRNA,8,Untreated,33,15,1,18,R6
6h_17_cleared__results_cell_8.npz,gRNA,8,Untreated,6,6,0,NA,R6
6h_1_cleared__results_cell_0.npz,ORFN,8,Untreated,4240,104,5,827.2,R6
6h_1_cleared__results_cell_1.npz,ORFN,8,Untreated,2189,122,6,344.5,R6
6h_1_cleared__results_cell_10.npz,ORFN,8,Untreated,24567,462,41,587.9268292682926,R6
6h_1_cleared__results_cell_11.npz,ORFN,8,Untreated,37866,639,82,453.9878048780488,R6
6h_1_cleared__results_cell_12.npz,ORFN,8,Untreated,6008,589,10,541.9,R6
6h_1_cleared__results_cell_13.npz,ORFN,8,Untreated,34,34,0,NA,R6
6h_1_cleared__results_cell_14.npz,ORFN,8,Untreated,59001,1239,96,601.6875,R6
6h_1_cleared__results_cell_15.npz,ORFN,8,Untreated,77915,1301,259,295.80694980694983,R6
6h_1_cleared__results_cell_16.npz,ORFN,8,Untreated,23758,596,40,579.05,R6
6h_1_cleared__results_cell_17.npz,ORFN,8,Untreated,103871,1226,207,495.8695652173913,R6
6h_1_cleared__results_cell_18.npz,ORFN,8,Untreated,10433,142,12,857.5833333333334,R6
6h_1_cleared__results_cell_19.npz,ORFN,8,Untreated,3627,75,4,888,R6
6h_1_cleared__results_cell_2.npz,ORFN,8,Untreated,2388,114,3,758,R6
6h_1_cleared__results_cell_20.npz,ORFN,8,Untreated,4816,122,12,391.1666666666667,R6
6h_1_cleared__results_cell_21.npz,ORFN,8,Untreated,5542,180,8,670.25,R6
6h_1_cleared__results_cell_22.npz,ORFN,8,Untreated,1833,95,2,869,R6
6h_1_cleared__results_cell_23.npz,ORFN,8,Untreated,2,2,0,NA,R6
6h_1_cleared__results_cell_3.npz,ORFN,8,Untreated,12555,209,18,685.8888888888889,R6
6h_1_cleared__results_cell_4.npz,ORFN,8,Untreated,2852,132,6,453.3333333333333,R6
6h_1_cleared__results_cell_5.npz,ORFN,8,Untreated,3690,174,7,502.2857142857143,R6
6h_1_cleared__results_cell_6.npz,ORFN,8,Untreated,968,34,1,934,R6
6h_1_cleared__results_cell_7.npz,ORFN,8,Untreated,42779,899,57,734.7368421052631,R6
6h_1_cleared__results_cell_8.npz,ORFN,8,Untreated,11111,244,16,679.1875,R6
6h_1_cleared__results_cell_9.npz,ORFN,8,Untreated,13258,187,17,768.8823529411765,R6
6h_1_cleared__results_cell_0.npz,gRNA,8,Untreated,160,37,2,61.5,R6
6h_1_cleared__results_cell_1.npz,gRNA,8,Untreated,442,38,4,101,R6
6h_1_cleared__results_cell_10.npz,gRNA,8,Untreated,1829,106,10,172.3,R6
6h_1_cleared__results_cell_11.npz,gRNA,8,Untreated,1466,87,10,137.9,R6
6h_1_cleared__results_cell_12.npz,gRNA,8,Untreated,327,239,3,29.333333333333332,R6
6h_1_cleared__results_cell_13.npz,gRNA,8,Untreated,69,46,2,11.5,R6
6h_1_cleared__results_cell_14.npz,gRNA,8,Untreated,6676,538,47,130.59574468085106,R6
6h_1_cleared__results_cell_15.npz,gRNA,8,Untreated,2171,178,29,68.72413793103448,R6
6h_1_cleared__results_cell_16.npz,gRNA,8,Untreated,538,127,3,137,R6
6h_1_cleared__results_cell_17.npz,gRNA,8,Untreated,1493,136,14,96.92857142857143,R6
6h_1_cleared__results_cell_18.npz,gRNA,8,Untreated,1444,25,8,177.375,R6
6h_1_cleared__results_cell_19.npz,gRNA,8,Untreated,479,19,2,230,R6
6h_1_cleared__results_cell_2.npz,gRNA,8,Untreated,19,19,0,NA,R6
6h_1_cleared__results_cell_20.npz,gRNA,8,Untreated,6,6,0,NA,R6
6h_1_cleared__results_cell_21.npz,gRNA,8,Untreated,384,29,2,177.5,R6
6h_1_cleared__results_cell_22.npz,gRNA,8,Untreated,7,7,0,NA,R6
6h_1_cleared__results_cell_23.npz,gRNA,8,Untreated,0,0,0,NA,R6
6h_1_cleared__results_cell_3.npz,gRNA,8,Untreated,951,70,6,146.83333333333334,R6
6h_1_cleared__results_cell_4.npz,gRNA,8,Untreated,49,18,1,31,R6
6h_1_cleared__results_cell_5.npz,gRNA,8,Untreated,639,78,3,187,R6
6h_1_cleared__results_cell_6.npz,gRNA,8,Untreated,308,11,2,148.5,R6
6h_1_cleared__results_cell_7.npz,gRNA,8,Untreated,5637,420,35,149.05714285714285,R6
6h_1_cleared__results_cell_8.npz,gRNA,8,Untreated,711,98,6,102.16666666666667,R6
6h_1_cleared__results_cell_9.npz,gRNA,8,Untreated,2130,115,15,134.33333333333334,R6
6h_20_cleared__results_cell_0.npz,ORFN,8,Untreated,0,0,0,NA,R6
6h_20_cleared__results_cell_1.npz,ORFN,8,Untreated,33,12,2,10.5,R6
6h_20_cleared__results_cell_10.npz,ORFN,8,Untreated,86,37,2,24.5,R6
6h_20_cleared__results_cell_11.npz,ORFN,8,Untreated,1,1,0,NA,R6
6h_20_cleared__results_cell_2.npz,ORFN,8,Untreated,1078,198,17,51.76470588235294,R6
6h_20_cleared__results_cell_3.npz,ORFN,8,Untreated,6,6,0,NA,R6
6h_20_cleared__results_cell_4.npz,ORFN,8,Untreated,2836,233,36,72.30555555555556,R6
6h_20_cleared__results_cell_5.npz,ORFN,8,Untreated,5,5,0,NA,R6
6h_20_cleared__results_cell_6.npz,ORFN,8,Untreated,15,15,0,NA,R6
6h_20_cleared__results_cell_7.npz,ORFN,8,Untreated,340,59,6,46.833333333333336,R6
6h_20_cleared__results_cell_8.npz,ORFN,8,Untreated,19,19,0,NA,R6
6h_20_cleared__results_cell_9.npz,ORFN,8,Untreated,891,157,10,73.4,R6
6h_20_cleared__results_cell_0.npz,gRNA,8,Untreated,0,0,0,NA,R6
6h_20_cleared__results_cell_1.npz,gRNA,8,Untreated,21,3,1,18,R6
6h_20_cleared__results_cell_10.npz,gRNA,8,Untreated,133,86,2,23.5,R6
6h_20_cleared__results_cell_11.npz,gRNA,8,Untreated,0,0,0,NA,R6
6h_20_cleared__results_cell_2.npz,gRNA,8,Untreated,190,84,4,26.5,R6
6h_20_cleared__results_cell_3.npz,gRNA,8,Untreated,3,3,1,0,R6
6h_20_cleared__results_cell_4.npz,gRNA,8,Untreated,918,142,20,38.8,R6
6h_20_cleared__results_cell_5.npz,gRNA,8,Untreated,41,3,1,38,R6
6h_20_cleared__results_cell_6.npz,gRNA,8,Untreated,54,54,0,NA,R6
6h_20_cleared__results_cell_7.npz,gRNA,8,Untreated,58,19,1,39,R6
6h_20_cleared__results_cell_8.npz,gRNA,8,Untreated,250,107,2,71.5,R6
6h_20_cleared__results_cell_9.npz,gRNA,8,Untreated,440,99,10,34.1,R6
6h_21_cleared__results_cell_0.npz,ORFN,8,Untreated,20,8,1,12,R6
6h_21_cleared__results_cell_1.npz,ORFN,8,Untreated,881,102,13,59.92307692307692,R6
6h_21_cleared__results_cell_10.npz,ORFN,8,Untreated,369,38,5,66.2,R6
6h_21_cleared__results_cell_2.npz,ORFN,8,Untreated,933,67,12,72.16666666666667,R6
6h_21_cleared__results_cell_3.npz,ORFN,8,Untreated,38,38,0,NA,R6
6h_21_cleared__results_cell_4.npz,ORFN,8,Untreated,2114,203,26,73.5,R6
6h_21_cleared__results_cell_5.npz,ORFN,8,Untreated,160,23,3,45.666666666666664,R6
6h_21_cleared__results_cell_6.npz,ORFN,8,Untreated,297,36,4,65.25,R6
6h_21_cleared__results_cell_7.npz,ORFN,8,Untreated,73,22,2,25.5,R6
6h_21_cleared__results_cell_8.npz,ORFN,8,Untreated,518,130,5,77.6,R6
6h_21_cleared__results_cell_9.npz,ORFN,8,Untreated,1217,205,11,92,R6
6h_21_cleared__results_cell_0.npz,gRNA,8,Untreated,2,2,0,NA,R6
6h_21_cleared__results_cell_1.npz,gRNA,8,Untreated,58,27,1,31,R6
6h_21_cleared__results_cell_10.npz,gRNA,8,Untreated,49,20,1,29,R6
6h_21_cleared__results_cell_2.npz,gRNA,8,Untreated,269,56,10,21.3,R6
6h_21_cleared__results_cell_3.npz,gRNA,8,Untreated,72,64,4,2,R6
6h_21_cleared__results_cell_4.npz,gRNA,8,Untreated,566,68,12,41.5,R6
6h_21_cleared__results_cell_5.npz,gRNA,8,Untreated,35,21,1,14,R6
6h_21_cleared__results_cell_6.npz,gRNA,8,Untreated,102,7,2,47.5,R6
6h_21_cleared__results_cell_7.npz,gRNA,8,Untreated,53,10,2,21.5,R6
6h_21_cleared__results_cell_8.npz,gRNA,8,Untreated,167,30,4,34.25,R6
6h_21_cleared__results_cell_9.npz,gRNA,8,Untreated,271,104,5,33.4,R6
6h_22_cleared__results_cell_0.npz,ORFN,8,Untreated,20819,895,98,203.30612244897958,R6
6h_22_cleared__results_cell_1.npz,ORFN,8,Untreated,12965,600,62,199.43548387096774,R6
6h_22_cleared__results_cell_2.npz,ORFN,8,Untreated,13408,644,56,227.92857142857142,R6
6h_22_cleared__results_cell_3.npz,ORFN,8,Untreated,1992,93,9,211,R6
6h_22_cleared__results_cell_4.npz,ORFN,8,Untreated,5,5,0,NA,R6
6h_22_cleared__results_cell_5.npz,ORFN,8,Untreated,5452,238,22,237,R6
6h_22_cleared__results_cell_0.npz,gRNA,8,Untreated,490,102,9,43.111111111111114,R6
6h_22_cleared__results_cell_1.npz,gRNA,8,Untreated,375,148,7,32.42857142857143,R6
6h_22_cleared__results_cell_2.npz,gRNA,8,Untreated,385,113,9,30.22222222222222,R6
6h_22_cleared__results_cell_3.npz,gRNA,8,Untreated,6,6,0,NA,R6
6h_22_cleared__results_cell_4.npz,gRNA,8,Untreated,1,1,0,NA,R6
6h_22_cleared__results_cell_5.npz,gRNA,8,Untreated,154,34,3,40,R6
6h_23_cleared__results_cell_0.npz,ORFN,8,Untreated,5271,154,10,511.7,R6
6h_23_cleared__results_cell_1.npz,ORFN,8,Untreated,3943,100,6,640.5,R6
6h_23_cleared__results_cell_10.npz,ORFN,8,Untreated,6656,193,16,403.9375,R6
6h_23_cleared__results_cell_11.npz,ORFN,8,Untreated,1940,50,2,945,R6
6h_23_cleared__results_cell_12.npz,ORFN,8,Untreated,54070,1193,131,403.6412213740458,R6
6h_23_cleared__results_cell_13.npz,ORFN,8,Untreated,18694,290,24,766.8333333333334,R6
6h_23_cleared__results_cell_14.npz,ORFN,8,Untreated,34756,745,62,548.5645161290323,R6
6h_23_cleared__results_cell_15.npz,ORFN,8,Untreated,11722,378,26,436.3076923076923,R6
6h_23_cleared__results_cell_16.npz,ORFN,8,Untreated,8498,313,14,584.6428571428571,R6
6h_23_cleared__results_cell_17.npz,ORFN,8,Untreated,3634,84,5,710,R6
6h_23_cleared__results_cell_18.npz,ORFN,8,Untreated,3688,98,6,598.3333333333334,R6
6h_23_cleared__results_cell_19.npz,ORFN,8,Untreated,2849,99,6,458.3333333333333,R6
6h_23_cleared__results_cell_2.npz,ORFN,8,Untreated,5995,222,14,412.35714285714283,R6
6h_23_cleared__results_cell_20.npz,ORFN,8,Untreated,2311,57,3,751.3333333333334,R6
6h_23_cleared__results_cell_21.npz,ORFN,8,Untreated,5046,151,9,543.8888888888889,R6
6h_23_cleared__results_cell_22.npz,ORFN,8,Untreated,6442,308,14,438.14285714285717,R6
6h_23_cleared__results_cell_23.npz,ORFN,8,Untreated,839,20,1,819,R6
6h_23_cleared__results_cell_3.npz,ORFN,8,Untreated,21989,533,43,498.9767441860465,R6
6h_23_cleared__results_cell_4.npz,ORFN,8,Untreated,37487,714,70,525.3285714285714,R6
6h_23_cleared__results_cell_5.npz,ORFN,8,Untreated,40388,1099,92,427.05434782608694,R6
6h_23_cleared__results_cell_6.npz,ORFN,8,Untreated,36764,876,100,358.88,R6
