,file_name,ch,strain,time,condition,total_vRNAs,cytosolic_RNAs,repSites,mol_per_repSite
21,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch4_results_cell_1.npz,gRNA,B1.1.7,2,Untreated,31,31,0,
22,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch4_results_cell_2.npz,gRNA,B1.1.7,2,Untreated,53,49,1,4.0
23,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch4_results_cell_3.npz,gRNA,B1.1.7,2,Untreated,13,13,0,
24,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch4_results_cell_4.npz,gRNA,B1.1.7,2,Untreated,32,32,0,
25,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch4_results_cell_5.npz,gRNA,B1.1.7,2,Untreated,39,39,0,
26,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch4_results_cell_6.npz,gRNA,B1.1.7,2,Untreated,22,22,0,
27,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch4_results_cell_7.npz,gRNA,B1.1.7,2,Untreated,11,11,0,
28,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch3_results_cell_0.npz,ORFN,B1.1.7,2,Untreated,67,57,1,10.0
29,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch3_results_cell_1.npz,ORFN,B1.1.7,2,Untreated,35,30,1,5.0
30,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch3_results_cell_2.npz,ORFN,B1.1.7,2,Untreated,115,110,1,5.0
31,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch3_results_cell_3.npz,ORFN,B1.1.7,2,Untreated,103,87,2,8.0
32,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch3_results_cell_4.npz,ORFN,B1.1.7,2,Untreated,115,94,3,7.0
33,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch3_results_cell_5.npz,ORFN,B1.1.7,2,Untreated,223,169,7,7.714285714285714
34,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch3_results_cell_6.npz,ORFN,B1.1.7,2,Untreated,173,129,5,8.8
35,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch4_results_cell_0.npz,gRNA,B1.1.7,2,Untreated,4,4,0,
36,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch4_results_cell_1.npz,gRNA,B1.1.7,2,Untreated,5,5,0,
37,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch4_results_cell_2.npz,gRNA,B1.1.7,2,Untreated,16,16,0,
38,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch4_results_cell_3.npz,gRNA,B1.1.7,2,Untreated,9,9,0,
39,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch4_results_cell_4.npz,gRNA,B1.1.7,2,Untreated,11,11,0,
40,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch4_results_cell_5.npz,gRNA,B1.1.7,2,Untreated,24,19,1,5.0
41,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch4_results_cell_6.npz,gRNA,B1.1.7,2,Untreated,25,21,1,4.0
42,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_0.npz,ORFN,B1.1.7,2,Untreated,50,50,0,
43,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_1.npz,ORFN,B1.1.7,2,Untreated,141,111,3,10.0
44,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_2.npz,ORFN,B1.1.7,2,Untreated,61,57,1,4.0
45,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_3.npz,ORFN,B1.1.7,2,Untreated,171,127,6,7.333333333333333
46,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_4.npz,ORFN,B1.1.7,2,Untreated,223,168,3,18.333333333333332
47,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_5.npz,ORFN,B1.1.7,2,Untreated,384,296,15,5.866666666666666
48,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_6.npz,ORFN,B1.1.7,2,Untreated,125,117,2,4.0
49,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_7.npz,ORFN,B1.1.7,2,Untreated,214,171,6,7.166666666666667
50,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_8.npz,ORFN,B1.1.7,2,Untreated,31,21,2,5.0
51,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch4_results_cell_0.npz,gRNA,B1.1.7,2,Untreated,3,3,0,
52,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch4_results_cell_1.npz,gRNA,B1.1.7,2,Untreated,17,11,1,6.0
53,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch4_results_cell_2.npz,gRNA,B1.1.7,2,Untreated,10,10,0,
54,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch4_results_cell_3.npz,gRNA,B1.1.7,2,Untreated,9,9,0,
55,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch4_results_cell_4.npz,gRNA,B1.1.7,2,Untreated,26,22,1,4.0
56,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch4_results_cell_5.npz,gRNA,B1.1.7,2,Untreated,43,43,0,
57,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch4_results_cell_6.npz,gRNA,B1.1.7,2,Untreated,12,12,0,
58,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch4_results_cell_7.npz,gRNA,B1.1.7,2,Untreated,30,26,1,4.0
59,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch4_results_cell_8.npz,gRNA,B1.1.7,2,Untreated,1,1,0,
60,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch3_results_cell_0.npz,ORFN,B1.1.7,2,Untreated,105,93,2,6.0
61,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch3_results_cell_1.npz,ORFN,B1.1.7,2,Untreated,48,41,1,7.0
62,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch3_results_cell_2.npz,ORFN,B1.1.7,2,Untreated,127,102,1,25.0
63,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch3_results_cell_3.npz,ORFN,B1.1.7,2,Untreated,75,64,2,5.5
64,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch3_results_cell_4.npz,ORFN,B1.1.7,2,Untreated,94,69,3,8.333333333333334
65,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch3_results_cell_5.npz,ORFN,B1.1.7,2,Untreated,121,113,2,4.0
66,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch3_results_cell_6.npz,ORFN,B1.1.7,2,Untreated,167,133,5,6.8
67,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch3_results_cell_7.npz,ORFN,B1.1.7,2,Untreated,179,144,3,11.666666666666666
68,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch4_results_cell_0.npz,gRNA,B1.1.7,2,Untreated,13,13,0,
69,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch4_results_cell_1.npz,gRNA,B1.1.7,2,Untreated,6,6,0,
70,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch4_results_cell_2.npz,gRNA,B1.1.7,2,Untreated,14,14,0,
71,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch4_results_cell_3.npz,gRNA,B1.1.7,2,Untreated,5,5,0,
72,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch4_results_cell_4.npz,gRNA,B1.1.7,2,Untreated,10,10,0,
73,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch4_results_cell_5.npz,gRNA,B1.1.7,2,Untreated,24,24,0,
74,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch4_results_cell_6.npz,gRNA,B1.1.7,2,Untreated,15,15,0,
75,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch4_results_cell_7.npz,gRNA,B1.1.7,2,Untreated,9,9,0,
76,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch3_results_cell_0.npz,ORFN,B1.1.7,2,Untreated,92,76,3,5.333333333333333
77,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch3_results_cell_1.npz,ORFN,B1.1.7,2,Untreated,88,84,1,4.0
78,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch3_results_cell_2.npz,ORFN,B1.1.7,2,Untreated,305,236,12,5.75
79,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch3_results_cell_3.npz,ORFN,B1.1.7,2,Untreated,190,151,7,5.571428571428571
80,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch3_results_cell_4.npz,ORFN,B1.1.7,2,Untreated,118,101,4,4.25
81,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch3_results_cell_5.npz,ORFN,B1.1.7,2,Untreated,92,79,3,4.333333333333333
82,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch3_results_cell_6.npz,ORFN,B1.1.7,2,Untreated,36,31,1,5.0
83,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch3_results_cell_7.npz,ORFN,B1.1.7,2,Untreated,102,87,3,5.0
84,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch3_results_cell_8.npz,ORFN,B1.1.7,2,Untreated,198,145,4,13.25
85,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch4_results_cell_0.npz,gRNA,B1.1.7,2,Untreated,7,7,0,
86,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch4_results_cell_1.npz,gRNA,B1.1.7,2,Untreated,8,8,0,
87,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch4_results_cell_2.npz,gRNA,B1.1.7,2,Untreated,41,41,0,
88,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch4_results_cell_3.npz,gRNA,B1.1.7,2,Untreated,33,29,1,4.0
89,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch4_results_cell_4.npz,gRNA,B1.1.7,2,Untreated,15,15,0,
90,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch4_results_cell_5.npz,gRNA,B1.1.7,2,Untreated,11,11,0,
91,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch4_results_cell_6.npz,gRNA,B1.1.7,2,Untreated,3,3,0,
92,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch4_results_cell_7.npz,gRNA,B1.1.7,2,Untreated,14,14,0,
93,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch4_results_cell_8.npz,gRNA,B1.1.7,2,Untreated,15,15,0,
94,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_0.npz,ORFN,B1.1.7,2,Untreated,67,58,1,9.0
95,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_10.npz,ORFN,B1.1.7,2,Untreated,51,51,0,
96,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_1.npz,ORFN,B1.1.7,2,Untreated,84,66,3,6.0
97,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_2.npz,ORFN,B1.1.7,2,Untreated,90,76,2,7.0
98,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_3.npz,ORFN,B1.1.7,2,Untreated,68,63,1,5.0
99,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_4.npz,ORFN,B1.1.7,2,Untreated,31,25,1,6.0
100,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_5.npz,ORFN,B1.1.7,2,Untreated,7,7,0,
101,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_6.npz,ORFN,B1.1.7,2,Untreated,54,54,0,
102,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_7.npz,ORFN,B1.1.7,2,Untreated,167,124,4,10.75
103,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_8.npz,ORFN,B1.1.7,2,Untreated,63,63,0,
104,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_9.npz,ORFN,B1.1.7,2,Untreated,29,29,0,
105,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_0.npz,gRNA,B1.1.7,2,Untreated,1,1,0,
106,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_10.npz,gRNA,B1.1.7,2,Untreated,11,11,0,
107,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_1.npz,gRNA,B1.1.7,2,Untreated,2,2,0,
108,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_2.npz,gRNA,B1.1.7,2,Untreated,4,4,0,
109,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_3.npz,gRNA,B1.1.7,2,Untreated,5,5,0,
110,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_4.npz,gRNA,B1.1.7,2,Untreated,1,1,0,
111,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_5.npz,gRNA,B1.1.7,2,Untreated,0,0,0,
112,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_6.npz,gRNA,B1.1.7,2,Untreated,1,1,0,
113,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_7.npz,gRNA,B1.1.7,2,Untreated,15,15,0,
114,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_8.npz,gRNA,B1.1.7,2,Untreated,9,9,0,
115,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_9.npz,gRNA,B1.1.7,2,Untreated,4,4,0,
116,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch3_results_cell_0.npz,ORFN,B1.1.7,2,Untreated,114,101,2,6.5
117,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch3_results_cell_1.npz,ORFN,B1.1.7,2,Untreated,143,131,3,4.0
118,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch3_results_cell_2.npz,ORFN,B1.1.7,2,Untreated,87,75,2,6.0
119,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch3_results_cell_3.npz,ORFN,B1.1.7,2,Untreated,146,109,1,37.0
120,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch3_results_cell_4.npz,ORFN,B1.1.7,2,Untreated,73,67,1,6.0
121,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch3_results_cell_5.npz,ORFN,B1.1.7,2,Untreated,94,86,2,4.0
122,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch3_results_cell_6.npz,ORFN,B1.1.7,2,Untreated,109,96,2,6.5
123,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch4_results_cell_0.npz,gRNA,B1.1.7,2,Untreated,8,8,0,
124,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch4_results_cell_1.npz,gRNA,B1.1.7,2,Untreated,19,19,0,
125,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch4_results_cell_2.npz,gRNA,B1.1.7,2,Untreated,12,12,0,
126,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch4_results_cell_3.npz,gRNA,B1.1.7,2,Untreated,13,13,0,
127,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch4_results_cell_4.npz,gRNA,B1.1.7,2,Untreated,12,12,0,
128,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch4_results_cell_5.npz,gRNA,B1.1.7,2,Untreated,9,9,0,
129,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch4_results_cell_6.npz,gRNA,B1.1.7,2,Untreated,17,17,0,
130,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch3_results_cell_0.npz,ORFN,B1.1.7,2,Untreated,40,40,0,
131,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch3_results_cell_1.npz,ORFN,B1.1.7,2,Untreated,91,76,3,5.0
132,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch3_results_cell_2.npz,ORFN,B1.1.7,2,Untreated,157,115,3,14.0
133,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch3_results_cell_3.npz,ORFN,B1.1.7,2,Untreated,27,27,0,
134,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch3_results_cell_4.npz,ORFN,B1.1.7,2,Untreated,144,104,5,8.0
135,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch3_results_cell_5.npz,ORFN,B1.1.7,2,Untreated,70,58,2,6.0
136,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch3_results_cell_6.npz,ORFN,B1.1.7,2,Untreated,70,61,2,4.5
137,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch4_results_cell_0.npz,gRNA,B1.1.7,2,Untreated,0,0,0,
138,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch4_results_cell_1.npz,gRNA,B1.1.7,2,Untreated,5,5,0,
139,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch4_results_cell_2.npz,gRNA,B1.1.7,2,Untreated,6,6,0,
140,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch4_results_cell_3.npz,gRNA,B1.1.7,2,Untreated,4,4,0,
141,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch4_results_cell_4.npz,gRNA,B1.1.7,2,Untreated,12,12,0,
142,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch4_results_cell_5.npz,gRNA,B1.1.7,2,Untreated,10,6,1,4.0
143,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch4_results_cell_6.npz,gRNA,B1.1.7,2,Untreated,8,8,0,
144,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch3_results_cell_0.npz,ORFN,B1.1.7,2,Untreated,5,5,0,
145,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch3_results_cell_1.npz,ORFN,B1.1.7,2,Untreated,24,24,0,
146,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch3_results_cell_2.npz,ORFN,B1.1.7,2,Untreated,83,79,1,4.0
147,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch3_results_cell_3.npz,ORFN,B1.1.7,2,Untreated,51,51,0,
148,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch3_results_cell_4.npz,ORFN,B1.1.7,2,Untreated,165,108,4,14.25
149,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch3_results_cell_5.npz,ORFN,B1.1.7,2,Untreated,48,35,3,4.333333333333333
150,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch3_results_cell_6.npz,ORFN,B1.1.7,2,Untreated,83,67,3,5.333333333333333
151,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch3_results_cell_7.npz,ORFN,B1.1.7,2,Untreated,232,140,5,18.4
152,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch3_results_cell_8.npz,ORFN,B1.1.7,2,Untreated,27,27,0,
153,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch4_results_cell_0.npz,gRNA,B1.1.7,2,Untreated,0,0,0,
154,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch4_results_cell_1.npz,gRNA,B1.1.7,2,Untreated,2,2,0,
155,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch4_results_cell_2.npz,gRNA,B1.1.7,2,Untreated,4,4,0,
156,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch4_results_cell_3.npz,gRNA,B1.1.7,2,Untreated,5,5,0,
157,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch4_results_cell_4.npz,gRNA,B1.1.7,2,Untreated,6,6,0,
158,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch4_results_cell_5.npz,gRNA,B1.1.7,2,Untreated,7,7,0,
159,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch4_results_cell_6.npz,gRNA,B1.1.7,2,Untreated,12,12,0,
160,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch4_results_cell_7.npz,gRNA,B1.1.7,2,Untreated,6,6,0,
161,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch4_results_cell_8.npz,gRNA,B1.1.7,2,Untreated,6,6,0,
162,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch3_results_cell_0.npz,ORFN,B1.1.7,2,Untreated,79,70,2,4.5
163,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch3_results_cell_1.npz,ORFN,B1.1.7,2,Untreated,61,51,1,10.0
164,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch3_results_cell_2.npz,ORFN,B1.1.7,2,Untreated,117,93,2,12.0
165,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch3_results_cell_3.npz,ORFN,B1.1.7,2,Untreated,70,62,2,4.0
166,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch3_results_cell_4.npz,ORFN,B1.1.7,2,Untreated,169,116,6,8.833333333333334
167,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch3_results_cell_5.npz,ORFN,B1.1.7,2,Untreated,45,41,1,4.0
168,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch3_results_cell_6.npz,ORFN,B1.1.7,2,Untreated,92,76,3,5.333333333333333
169,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch3_results_cell_7.npz,ORFN,B1.1.7,2,Untreated,132,112,4,5.0
170,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch4_results_cell_0.npz,gRNA,B1.1.7,2,Untreated,1,1,0,
171,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch4_results_cell_1.npz,gRNA,B1.1.7,2,Untreated,1,1,0,
172,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch4_results_cell_2.npz,gRNA,B1.1.7,2,Untreated,9,9,0,
173,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch4_results_cell_3.npz,gRNA,B1.1.7,2,Untreated,6,6,0,
174,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch4_results_cell_4.npz,gRNA,B1.1.7,2,Untreated,10,10,0,
175,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch4_results_cell_5.npz,gRNA,B1.1.7,2,Untreated,6,6,0,
176,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch4_results_cell_6.npz,gRNA,B1.1.7,2,Untreated,8,8,0,
177,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch4_results_cell_7.npz,gRNA,B1.1.7,2,Untreated,12,12,0,
178,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch3_results_cell_0.npz,ORFN,B1.1.7,2,Untreated,56,40,1,16.0
179,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch3_results_cell_10.npz,ORFN,B1.1.7,2,Untreated,188,117,4,17.75
180,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch3_results_cell_1.npz,ORFN,B1.1.7,2,Untreated,102,92,2,5.0
181,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch3_results_cell_2.npz,ORFN,B1.1.7,2,Untreated,36,36,0,
182,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch3_results_cell_3.npz,ORFN,B1.1.7,2,Untreated,82,74,1,8.0
183,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch3_results_cell_4.npz,ORFN,B1.1.7,2,Untreated,78,78,0,
184,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch3_results_cell_5.npz,ORFN,B1.1.7,2,Untreated,119,109,2,5.0
185,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch3_results_cell_6.npz,ORFN,B1.1.7,2,Untreated,124,113,2,5.5
186,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch3_results_cell_7.npz,ORFN,B1.1.7,2,Untreated,245,194,10,5.1
187,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch3_results_cell_8.npz,ORFN,B1.1.7,2,Untreated,244,168,10,7.6
188,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch3_results_cell_9.npz,ORFN,B1.1.7,2,Untreated,153,141,2,6.0
189,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch4_results_cell_0.npz,gRNA,B1.1.7,2,Untreated,0,0,0,
