,file_name,strain,time,treatment,ch3_total_vRNAs,ch3_cytosolic_RNAs,ch3_repSites,ch3_mol_per_repSite,ch4_total_vRNAs,ch4_cytosolic_RNAs,ch4_repSites,ch4_mol_per_repSite
1409,CoV-FISH-10_Vero_2h_Vic_INF_R1_00006_ch3_results_cell_1.npz,Vic,2,INF,779,303,14,34,106,91,3,5
1776,CoV-FISH-10_Vero_2h_Vic_INF_R3_00007_ch3_results_cell_2.npz,Vic,2,INF,122,103,1,19,102,92,3,3.333333333
825,CoV-FISH-10_Vero_2h_B117_RDV_R2_00001_ch3_results_cell_3.npz,B117,2,RDV,552,408,5,28.8,91,57,3,11.33333333
897,CoV-FISH-10_Vero_2h_B117_RDV_R2_00006_ch3_results_cell_9.npz,B117,2,RDV,385,242,7,20.42857143,86,74,1,12
1664,CoV-FISH-10_Vero_2h_Vic_INF_R2_00006_ch3_results_cell_0.npz,Vic,2,INF,326,205,7,17.28571429,86,83,1,3
851,CoV-FISH-10_Vero_2h_B117_RDV_R2_00003_ch3_results_cell_3.npz,B117,2,RDV,220,137,4,20.75,86,73,2,6.5
823,CoV-FISH-10_Vero_2h_B117_RDV_R2_00001_ch3_results_cell_1.npz,B117,2,RDV,604,225,12,31.58333333,85,81,1,4
1623,CoV-FISH-10_Vero_2h_Vic_INF_R2_00001_ch3_results_cell_3.npz,Vic,2,INF,199,161,7,5.428571429,85,79,4,1.5
1782,CoV-FISH-10_Vero_2h_Vic_INF_R3_00008_ch3_results_cell_0.npz,Vic,2,INF,178,108,7,10,85,59,4,6.5
886,CoV-FISH-10_Vero_2h_B117_RDV_R2_00006_ch3_results_cell_0.npz,B117,2,RDV,331,148,4,45.75,83,77,3,2
1677,CoV-FISH-10_Vero_2h_Vic_INF_R2_00007_ch3_results_cell_1.npz,Vic,2,INF,260,102,5,31.6,83,47,3,12
1635,CoV-FISH-10_Vero_2h_Vic_INF_R2_00002_ch3_results_cell_3.npz,Vic,2,INF,234,133,5,20.2,83,75,1,8
1702,CoV-FISH-10_Vero_2h_Vic_INF_R2_00009_ch3_results_cell_2.npz,Vic,2,INF,137,100,3,12.33333333,83,43,2,20
1774,CoV-FISH-10_Vero_2h_Vic_INF_R3_00007_ch3_results_cell_0.npz,Vic,2,INF,75,65,1,10,83,67,2,8
1665,CoV-FISH-10_Vero_2h_Vic_INF_R2_00006_ch3_results_cell_1.npz,Vic,2,INF,243,143,4,25,82,78,2,2
2040,CoV-FISH-10_Vero_2h_Vic_RDV_R2_00005_ch3_results_cell_2.npz,Vic,2,RDV,76,41,2,17.5,82,81,1,1
1315,CoV-FISH-10_Vero_2h_Vic_INF_R1_00001_ch3_results_cell_1.npz,Vic,2,INF,671,333,13,26,81,71,4,2.5
1652,CoV-FISH-10_Vero_2h_Vic_INF_R2_00004_ch3_results_cell_4.npz,Vic,2,INF,278,145,8,16.625,81,77,1,4
3,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch3_results_cell_3.npz,B117,2,INF,893,380,18,28.5,80,77,3,1
2075,CoV-FISH-10_Vero_2h_Vic_RDV_R2_00008_ch3_results_cell_3.npz,Vic,2,RDV,73,53,2,10,80,71,1,9
440,CoV-FISH-10_Vero_2h_B117_INF_R2_00010_ch3_results_cell_4.npz,B117,2,INF,394,236,5,31.6,79,75,1,4
942,CoV-FISH-10_Vero_2h_B117_RDV_R2_00010_ch3_results_cell_2.npz,B117,2,RDV,385,141,7,34.85714286,79,71,3,2.666666667
887,CoV-FISH-10_Vero_2h_B117_RDV_R2_00006_ch3_results_cell_10.npz,B117,2,RDV,288,162,5,25.2,79,79,0,
557,CoV-FISH-10_Vero_2h_B117_INF_R3_00007_ch3_results_cell_9.npz,B117,2,INF,153,114,2,19.5,79,73,1,6
1332,CoV-FISH-10_Vero_2h_Vic_INF_R1_00002_ch3_results_cell_0.npz,Vic,2,INF,805,362,11,40.27272727,77,62,4,3.75
616,CoV-FISH-10_Vero_2h_B117_INF_R3_00011_ch3_results_cell_8.npz,B117,2,INF,285,158,6,21.16666667,77,52,1,25
458,CoV-FISH-10_Vero_2h_B117_INF_R3_00001_ch3_results_cell_2.npz,B117,2,INF,231,127,7,14.85714286,77,70,4,1.75
476,CoV-FISH-10_Vero_2h_B117_INF_R3_00002_ch3_results_cell_2.npz,B117,2,INF,161,124,4,9.25,77,67,4,2.5
2042,CoV-FISH-10_Vero_2h_Vic_RDV_R2_00005_ch3_results_cell_4.npz,Vic,2,RDV,86,66,3,6.666666667,77,59,2,9
877,CoV-FISH-10_Vero_2h_B117_RDV_R2_00005_ch3_results_cell_1.npz,B117,2,RDV,361,177,8,23,76,76,0,
1423,CoV-FISH-10_Vero_2h_Vic_INF_R1_00007_ch3_results_cell_3.npz,Vic,2,INF,1155,318,19,44.05263158,75,65,4,2.5
914,CoV-FISH-10_Vero_2h_B117_RDV_R2_00007_ch3_results_cell_4.npz,B117,2,RDV,414,172,6,40.33333333,75,75,0,
2030,CoV-FISH-10_Vero_2h_Vic_RDV_R2_00004_ch3_results_cell_0.npz,Vic,2,RDV,364,349,3,5,75,66,4,2.25
1681,CoV-FISH-10_Vero_2h_Vic_INF_R2_00007_ch3_results_cell_5.npz,Vic,2,INF,77,57,1,20,74,58,1,16
1640,CoV-FISH-10_Vero_2h_Vic_INF_R2_00003_ch3_results_cell_0.npz,Vic,2,INF,235,166,6,11.5,71,70,1,1
2130,CoV-FISH-10_Vero_2h_Vic_RDV_R3_00002_ch3_results_cell_2.npz,Vic,2,RDV,116,88,2,14,71,66,2,2.5
1723,CoV-FISH-10_Vero_2h_Vic_INF_R3_00001_ch3_results_cell_3.npz,Vic,2,INF,54,49,1,5,71,27,1,44
826,CoV-FISH-10_Vero_2h_B117_RDV_R2_00001_ch3_results_cell_4.npz,B117,2,RDV,304,182,4,30.5,70,63,1,7
2064,CoV-FISH-10_Vero_2h_Vic_RDV_R2_00007_ch3_results_cell_4.npz,Vic,2,RDV,324,176,7,21.14285714,69,69,0,
876,CoV-FISH-10_Vero_2h_B117_RDV_R2_00005_ch3_results_cell_0.npz,B117,2,RDV,181,103,3,26,69,53,1,16
1072,CoV-FISH-10_Vero_2h_B117_RDV_R3_00009_ch3_results_cell_2.npz,B117,2,RDV,141,96,3,15,69,45,3,8
1734,CoV-FISH-10_Vero_2h_Vic_INF_R3_00002_ch3_results_cell_0.npz,Vic,2,INF,114,59,3,18.33333333,69,44,2,12.5
1424,CoV-FISH-10_Vero_2h_Vic_INF_R1_00007_ch3_results_cell_4.npz,Vic,2,INF,754,301,11,41.18181818,68,63,1,5
893,CoV-FISH-10_Vero_2h_B117_RDV_R2_00006_ch3_results_cell_5.npz,B117,2,RDV,159,86,4,18.25,68,45,3,7.666666667
835,CoV-FISH-10_Vero_2h_B117_RDV_R2_00002_ch3_results_cell_3.npz,B117,2,RDV,232,138,2,47,66,53,1,13
889,CoV-FISH-10_Vero_2h_B117_RDV_R2_00006_ch3_results_cell_1.npz,B117,2,RDV,220,104,4,29,66,53,2,6.5
2078,CoV-FISH-10_Vero_2h_Vic_RDV_R2_00008_ch3_results_cell_6.npz,Vic,2,RDV,40,40,0,,66,52,2,7
923,CoV-FISH-10_Vero_2h_B117_RDV_R2_00008_ch3_results_cell_1.npz,B117,2,RDV,269,185,5,16.8,63,63,0,
1742,CoV-FISH-10_Vero_2h_Vic_INF_R3_00003_ch3_results_cell_2.npz,Vic,2,INF,66,66,0,,63,62,1,1
2128,CoV-FISH-10_Vero_2h_Vic_RDV_R3_00002_ch3_results_cell_0.npz,Vic,2,RDV,49,42,1,7,63,53,2,5
836,CoV-FISH-10_Vero_2h_B117_RDV_R2_00002_ch3_results_cell_4.npz,B117,2,RDV,438,201,6,39.5,62,50,1,12
410,CoV-FISH-10_Vero_2h_B117_INF_R2_00008_ch3_results_cell_0.npz,B117,2,INF,251,172,6,13.16666667,62,44,3,6
2176,CoV-FISH-10_Vero_2h_Vic_RDV_R3_00006_ch3_results_cell_2.npz,Vic,2,RDV,123,90,3,11,61,55,1,6
891,CoV-FISH-10_Vero_2h_B117_RDV_R2_00006_ch3_results_cell_3.npz,B117,2,RDV,107,107,0,,61,61,0,
852,CoV-FISH-10_Vero_2h_B117_RDV_R2_00003_ch3_results_cell_4.npz,B117,2,RDV,423,225,9,22,60,55,2,2.5
2110,CoV-FISH-10_Vero_2h_Vic_RDV_R2_00010_ch3_results_cell_6.npz,Vic,2,RDV,116,84,1,32,60,50,1,10
612,CoV-FISH-10_Vero_2h_B117_INF_R3_00011_ch3_results_cell_4.npz,B117,2,INF,110,88,2,11,60,38,1,22
1037,CoV-FISH-10_Vero_2h_B117_RDV_R3_00007_ch3_results_cell_5.npz,B117,2,RDV,478,415,7,9,59,45,4,3.5
346,CoV-FISH-10_Vero_2h_B117_INF_R2_00003_ch3_results_cell_4.npz,B117,2,INF,130,102,3,9.333333333,59,55,2,2
1837,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00003_ch3_results_cell_3.npz,Vic,2,RDV,638,269,7,52.71428571,58,57,2,0.5
838,CoV-FISH-10_Vero_2h_B117_RDV_R2_00002_ch3_results_cell_6.npz,B117,2,RDV,178,92,2,43,58,47,1,11
2162,CoV-FISH-10_Vero_2h_Vic_RDV_R3_00005_ch3_results_cell_2.npz,Vic,2,RDV,88,70,2,9,58,52,3,2
601,CoV-FISH-10_Vero_2h_B117_INF_R3_00010_ch3_results_cell_3.npz,B117,2,INF,149,122,4,6.75,57,51,1,6
1076,CoV-FISH-10_Vero_2h_B117_RDV_R3_00009_ch3_results_cell_6.npz,B117,2,RDV,141,84,3,19,57,41,2,8
947,CoV-FISH-10_Vero_2h_B117_RDV_R2_00010_ch3_results_cell_7.npz,B117,2,RDV,351,129,4,55.5,55,55,0,
850,CoV-FISH-10_Vero_2h_B117_RDV_R2_00003_ch3_results_cell_2.npz,B117,2,RDV,207,85,3,40.66666667,55,44,2,5.5
265,CoV-FISH-10_Vero_2h_B117_INF_R1_00017_ch3_results_cell_1.npz,B117,2,INF,674,204,8,58.75,54,47,2,3.5
2122,CoV-FISH-10_Vero_2h_Vic_RDV_R3_00001_ch3_results_cell_2.npz,Vic,2,RDV,227,179,4,12,54,52,1,2
933,CoV-FISH-10_Vero_2h_B117_RDV_R2_00009_ch3_results_cell_3.npz,B117,2,RDV,206,126,3,26.66666667,54,51,1,3
2179,CoV-FISH-10_Vero_2h_Vic_RDV_R3_00006_ch3_results_cell_5.npz,Vic,2,RDV,109,77,2,16,54,46,2,4
268,CoV-FISH-10_Vero_2h_B117_INF_R1_00017_ch3_results_cell_4.npz,B117,2,INF,928,326,17,35.41176471,53,53,1,0
1581,CoV-FISH-10_Vero_2h_Vic_INF_R1_00018_ch3_results_cell_3.npz,Vic,2,INF,800,279,13,40.07692308,53,43,1,10
865,CoV-FISH-10_Vero_2h_B117_RDV_R2_00004_ch3_results_cell_7.npz,B117,2,RDV,302,133,6,28.16666667,53,53,1,0
890,CoV-FISH-10_Vero_2h_B117_RDV_R2_00006_ch3_results_cell_2.npz,B117,2,RDV,253,107,3,48.66666667,53,37,1,16
946,CoV-FISH-10_Vero_2h_B117_RDV_R2_00010_ch3_results_cell_6.npz,B117,2,RDV,242,93,3,49.66666667,53,42,2,5.5
1705,CoV-FISH-10_Vero_2h_Vic_INF_R2_00009_ch3_results_cell_5.npz,Vic,2,INF,156,72,3,28,53,37,1,16
1660,CoV-FISH-10_Vero_2h_Vic_INF_R2_00005_ch3_results_cell_2.npz,Vic,2,INF,163,103,3,20,52,43,2,4.5
1752,CoV-FISH-10_Vero_2h_Vic_INF_R3_00004_ch3_results_cell_4.npz,Vic,2,INF,109,75,2,17,52,51,1,1
861,CoV-FISH-10_Vero_2h_B117_RDV_R2_00004_ch3_results_cell_3.npz,B117,2,RDV,578,206,11,33.81818182,51,51,0,
824,CoV-FISH-10_Vero_2h_B117_RDV_R2_00001_ch3_results_cell_2.npz,B117,2,RDV,409,152,7,36.71428571,51,51,0,
895,CoV-FISH-10_Vero_2h_B117_RDV_R2_00006_ch3_results_cell_7.npz,B117,2,RDV,195,118,3,25.66666667,51,51,0,
934,CoV-FISH-10_Vero_2h_B117_RDV_R2_00009_ch3_results_cell_4.npz,B117,2,RDV,150,111,2,19.5,50,44,1,6
555,CoV-FISH-10_Vero_2h_B117_INF_R3_00007_ch3_results_cell_7.npz,B117,2,INF,77,69,1,8,50,43,2,3.5
14,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch3_results_cell_2.npz,B117,2,INF,412,235,8,22.125,49,49,1,0
2178,CoV-FISH-10_Vero_2h_Vic_RDV_R3_00006_ch3_results_cell_4.npz,Vic,2,RDV,128,97,3,10.33333333,49,49,0,
1749,CoV-FISH-10_Vero_2h_Vic_INF_R3_00004_ch3_results_cell_1.npz,Vic,2,INF,100,71,2,14.5,49,37,1,12
1074,CoV-FISH-10_Vero_2h_B117_RDV_R3_00009_ch3_results_cell_4.npz,B117,2,RDV,44,42,1,2,49,48,1,1
2133,CoV-FISH-10_Vero_2h_Vic_RDV_R3_00002_ch3_results_cell_5.npz,Vic,2,RDV,128,76,4,13,48,43,1,5
1358,CoV-FISH-10_Vero_2h_Vic_INF_R1_00003_ch3_results_cell_6.npz,Vic,2,INF,392,191,7,28.71428571,47,41,3,2
859,CoV-FISH-10_Vero_2h_B117_RDV_R2_00004_ch3_results_cell_1.npz,B117,2,RDV,282,153,6,21.5,47,47,0,
2063,CoV-FISH-10_Vero_2h_Vic_RDV_R2_00007_ch3_results_cell_3.npz,Vic,2,RDV,203,125,3,26,47,47,0,
2091,CoV-FISH-10_Vero_2h_Vic_RDV_R2_00009_ch3_results_cell_3.npz,Vic,2,RDV,161,117,4,11,47,41,2,3
863,CoV-FISH-10_Vero_2h_B117_RDV_R2_00004_ch3_results_cell_5.npz,B117,2,RDV,95,83,2,6,47,47,0,
2111,CoV-FISH-10_Vero_2h_Vic_RDV_R2_00010_ch3_results_cell_7.npz,Vic,2,RDV,37,37,0,,47,43,1,4
669,CoV-FISH-10_Vero_2h_B117_RDV_R1_00004_ch3_results_cell_3.npz,B117,2,RDV,789,264,8,65.625,46,44,2,1
911,CoV-FISH-10_Vero_2h_B117_RDV_R2_00007_ch3_results_cell_1.npz,B117,2,RDV,321,136,7,26.42857143,46,37,1,9
1625,CoV-FISH-10_Vero_2h_Vic_INF_R2_00001_ch3_results_cell_5.npz,Vic,2,INF,170,133,3,12.33333333,46,42,1,4
1668,CoV-FISH-10_Vero_2h_Vic_INF_R2_00006_ch3_results_cell_4.npz,Vic,2,INF,166,101,5,13,46,44,1,2
2123,CoV-FISH-10_Vero_2h_Vic_RDV_R3_00001_ch3_results_cell_3.npz,Vic,2,RDV,102,77,1,25,46,46,0,
600,CoV-FISH-10_Vero_2h_B117_INF_R3_00010_ch3_results_cell_2.npz,B117,2,INF,90,73,3,5.666666667,46,42,1,4
2109,CoV-FISH-10_Vero_2h_Vic_RDV_R2_00010_ch3_results_cell_5.npz,Vic,2,RDV,45,45,0,,46,31,2,7.5
910,CoV-FISH-10_Vero_2h_B117_RDV_R2_00007_ch3_results_cell_0.npz,B117,2,RDV,230,117,3,37.66666667,45,45,0,
1690,CoV-FISH-10_Vero_2h_Vic_INF_R2_00008_ch3_results_cell_0.npz,Vic,2,INF,193,98,6,15.83333333,45,34,2,5.5
864,CoV-FISH-10_Vero_2h_B117_RDV_R2_00004_ch3_results_cell_6.npz,B117,2,RDV,143,80,3,21,45,38,2,3.5
1741,CoV-FISH-10_Vero_2h_Vic_INF_R3_00003_ch3_results_cell_1.npz,Vic,2,INF,119,104,6,2.5,45,45,0,
1736,CoV-FISH-10_Vero_2h_Vic_INF_R3_00002_ch3_results_cell_2.npz,Vic,2,INF,67,67,0,,45,45,0,
2164,CoV-FISH-10_Vero_2h_Vic_RDV_R3_00005_ch3_results_cell_4.npz,Vic,2,RDV,53,53,0,,45,40,1,5
2044,CoV-FISH-10_Vero_2h_Vic_RDV_R2_00005_ch3_results_cell_6.npz,Vic,2,RDV,52,52,0,,45,45,0,
848,CoV-FISH-10_Vero_2h_B117_RDV_R2_00003_ch3_results_cell_0.npz,B117,2,RDV,211,89,3,40.66666667,44,39,1,5
1649,CoV-FISH-10_Vero_2h_Vic_INF_R2_00004_ch3_results_cell_1.npz,Vic,2,INF,158,110,4,12,44,44,1,0
839,CoV-FISH-10_Vero_2h_B117_RDV_R2_00002_ch3_results_cell_7.npz,B117,2,RDV,126,44,3,27.33333333,44,35,1,9
2140,CoV-FISH-10_Vero_2h_Vic_RDV_R3_00003_ch3_results_cell_0.npz,Vic,2,RDV,111,64,2,23.5,44,44,0,
47,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_5.npz,B117,2,INF,722,296,15,28.4,43,43,0,
833,CoV-FISH-10_Vero_2h_B117_RDV_R2_00002_ch3_results_cell_1.npz,B117,2,RDV,411,145,8,33.25,43,43,0,
860,CoV-FISH-10_Vero_2h_B117_RDV_R2_00004_ch3_results_cell_2.npz,B117,2,RDV,219,139,2,40,43,42,1,1
2072,CoV-FISH-10_Vero_2h_Vic_RDV_R2_00008_ch3_results_cell_0.npz,Vic,2,RDV,212,95,6,19.5,43,32,2,5.5
866,CoV-FISH-10_Vero_2h_B117_RDV_R2_00004_ch3_results_cell_8.npz,B117,2,RDV,184,99,3,28.33333333,43,43,0,
2092,CoV-FISH-10_Vero_2h_Vic_RDV_R2_00009_ch3_results_cell_4.npz,Vic,2,RDV,147,100,5,9.4,43,43,0,
1659,CoV-FISH-10_Vero_2h_Vic_INF_R2_00005_ch3_results_cell_1.npz,Vic,2,INF,133,102,3,10.33333333,43,39,1,4
421,CoV-FISH-10_Vero_2h_B117_INF_R2_00009_ch3_results_cell_1.npz,B117,2,INF,130,107,3,7.666666667,43,43,0,
1712,CoV-FISH-10_Vero_2h_Vic_INF_R2_00010_ch3_results_cell_0.npz,Vic,2,INF,99,76,2,11.5,43,40,1,3
2108,CoV-FISH-10_Vero_2h_Vic_RDV_R2_00010_ch3_results_cell_4.npz,Vic,2,RDV,71,43,2,14,43,37,1,6
186,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch3_results_cell_7.npz,B117,2,INF,339,194,10,14.5,42,42,1,0
1633,CoV-FISH-10_Vero_2h_Vic_INF_R2_00002_ch3_results_cell_1.npz,Vic,2,INF,240,160,7,11.42857143,42,42,0,
2165,CoV-FISH-10_Vero_2h_Vic_RDV_R3_00005_ch3_results_cell_5.npz,Vic,2,RDV,94,94,0,,42,42,0,
1465,CoV-FISH-10_Vero_2h_Vic_INF_R1_00010_ch3_results_cell_5.npz,Vic,2,INF,714,250,12,38.66666667,41,41,0,
700,CoV-FISH-10_Vero_2h_B117_RDV_R1_00006_ch3_results_cell_4.npz,B117,2,RDV,570,208,12,30.16666667,41,34,2,3.5
249,CoV-FISH-10_Vero_2h_B117_INF_R1_00016_ch3_results_cell_3.npz,B117,2,INF,562,276,7,40.85714286,41,40,1,1
1479,CoV-FISH-10_Vero_2h_Vic_INF_R1_00011_ch3_results_cell_3.npz,Vic,2,INF,481,243,11,21.63636364,41,37,2,2
78,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch3_results_cell_2.npz,B117,2,INF,477,236,12,20.08333333,41,41,0,
312,CoV-FISH-10_Vero_2h_B117_INF_R1_00020_ch3_results_cell_4.npz,B117,2,INF,324,176,8,18.5,41,37,2,2
179,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch3_results_cell_10.npz,B117,2,INF,306,117,4,47.25,41,38,1,3
931,CoV-FISH-10_Vero_2h_B117_RDV_R2_00009_ch3_results_cell_1.npz,B117,2,RDV,286,116,7,24.28571429,41,41,0,
915,CoV-FISH-10_Vero_2h_B117_RDV_R2_00007_ch3_results_cell_5.npz,B117,2,RDV,276,94,4,45.5,41,41,1,0
1648,CoV-FISH-10_Vero_2h_Vic_INF_R2_00004_ch3_results_cell_0.npz,Vic,2,INF,149,144,1,5,41,32,2,4.5
1650,CoV-FISH-10_Vero_2h_Vic_INF_R2_00004_ch3_results_cell_2.npz,Vic,2,INF,131,62,4,17.25,41,39,1,2
587,CoV-FISH-10_Vero_2h_B117_INF_R3_00009_ch3_results_cell_5.npz,B117,2,INF,128,76,2,26,41,41,0,
246,CoV-FISH-10_Vero_2h_B117_INF_R1_00016_ch3_results_cell_0.npz,B117,2,INF,679,369,14,22.14285714,40,40,0,
892,CoV-FISH-10_Vero_2h_B117_RDV_R2_00006_ch3_results_cell_4.npz,B117,2,RDV,232,102,3,43.33333333,40,40,0,
1768,CoV-FISH-10_Vero_2h_Vic_INF_R3_00006_ch3_results_cell_2.npz,Vic,2,INF,176,92,5,16.8,40,36,1,4
2142,CoV-FISH-10_Vero_2h_Vic_RDV_R3_00003_ch3_results_cell_2.npz,Vic,2,RDV,176,85,5,18.2,40,40,1,0
862,CoV-FISH-10_Vero_2h_B117_RDV_R2_00004_ch3_results_cell_4.npz,B117,2,RDV,168,75,2,46.5,40,34,1,6
17,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch3_results_cell_5.npz,B117,2,INF,358,167,8,23.875,39,39,0,
1759,CoV-FISH-10_Vero_2h_Vic_INF_R3_00005_ch3_results_cell_1.npz,Vic,2,INF,250,112,7,19.71428571,39,39,0,
1713,CoV-FISH-10_Vero_2h_Vic_INF_R2_00010_ch3_results_cell_1.npz,Vic,2,INF,173,100,3,24.33333333,39,39,0,
518,CoV-FISH-10_Vero_2h_B117_INF_R3_00005_ch3_results_cell_0.npz,B117,2,INF,121,106,2,7.5,39,39,0,
1796,CoV-FISH-10_Vero_2h_Vic_INF_R3_00010_ch3_results_cell_2.npz,Vic,2,INF,112,60,2,26,39,35,1,4
1693,CoV-FISH-10_Vero_2h_Vic_INF_R2_00008_ch3_results_cell_3.npz,Vic,2,INF,89,79,1,10,39,39,0,
1743,CoV-FISH-10_Vero_2h_Vic_INF_R3_00003_ch3_results_cell_3.npz,Vic,2,INF,68,55,2,6.5,39,37,1,2
1604,CoV-FISH-10_Vero_2h_Vic_INF_R1_00020_ch3_results_cell_2.npz,Vic,2,INF,750,214,14,38.28571429,38,29,2,4.5
629,CoV-FISH-10_Vero_2h_B117_RDV_R1_00001_ch3_results_cell_3.npz,B117,2,RDV,414,138,10,27.6,38,32,3,2
1,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch3_results_cell_1.npz,B117,2,INF,387,214,8,21.625,38,38,0,
1899,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00007_ch3_results_cell_5.npz,Vic,2,RDV,333,210,7,17.57142857,38,36,2,1
376,CoV-FISH-10_Vero_2h_B117_INF_R2_00005_ch3_results_cell_4.npz,B117,2,INF,95,70,2,12.5,38,38,0,
2190,CoV-FISH-10_Vero_2h_Vic_RDV_R3_00007_ch3_results_cell_2.npz,Vic,2,RDV,61,61,0,,38,38,0,
2193,CoV-FISH-10_Vero_2h_Vic_RDV_R3_00007_ch3_results_cell_5.npz,Vic,2,RDV,39,39,0,,38,37,1,1
204,CoV-FISH-10_Vero_2h_B117_INF_R1_00013_ch3_results_cell_4.npz,B117,2,INF,289,204,6,14.16666667,37,37,0,
832,CoV-FISH-10_Vero_2h_B117_RDV_R2_00002_ch3_results_cell_0.npz,B117,2,RDV,136,48,3,29.33333333,37,27,1,10
509,CoV-FISH-10_Vero_2h_B117_INF_R3_00004_ch3_results_cell_5.npz,B117,2,INF,88,68,2,10,37,37,1,0
439,CoV-FISH-10_Vero_2h_B117_INF_R2_00010_ch3_results_cell_3.npz,B117,2,INF,240,85,6,25.83333333,36,34,1,2
941,CoV-FISH-10_Vero_2h_B117_RDV_R2_00010_ch3_results_cell_1.npz,B117,2,RDV,180,133,3,15.66666667,36,36,0,
